material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300284-10.004,"ISOVER EPS Dämmplatte DI, DZ, WI, WZ, WAP (10-500mm)",ISOVER,,KBOB,10.004,,16,7.6,4.51,3.09
SPAG-300285-10.004,"ISOVER EPS Dämmplatte DEO dm, DAA dm, DAD dm, WAB (10-500mm)",ISOVER,,KBOB,10.004,,21,7.6,4.51,3.09
SPAG-300286-10.004,"ISOVER EPS Dämmplatte DI, DZ, WI, WZ, DEO dm, DAA dm, DAD dm, WAB, WAP (10-500mm)",ISOVER,,KBOB,10.004,,24,7.6,4.51,3.09
SPAG-300287-10.004,"ISOVER EPS Dämmplatte DEO dh, DAA dh, DAD dh (10-500mm)",ISOVER,,KBOB,10.004,,27,7.6,4.51,3.09
SPAG-300288-10.004,"ISOVER EPS Dämmplatte DEO ds, DAA ds, DAD ds (10-500mm)",ISOVER,,KBOB,10.004,,31,7.6,4.51,3.09
SPAG-300289-10.004,ISOVER Perimeter- und Sockeldämmplatte 035 BW3 150 (50-360mm),ISOVER,,KBOB,10.004,,34,7.6,4.51,3.09
SPAG-300291-10.004,ISOVER Fassadendämmplatte grau 032 (20-300mm),ISOVER,,KBOB,10.004,,18,7.6,4.51,3.09
SPAG-300293-10.004,ISOVER Fassadendämmplatte elastifiziert EPSe 040 WDV (40-200mm),ISOVER,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300294-10.004,ISOVER Fassadendämmplatte elastifiziert EPSe 035 WDV (40-200mm),ISOVER,,KBOB,10.004,,26,7.6,4.51,3.09
SPAG-300295-10.004,ISOVER Fassadenschalldämmplatte grau Silence dB Plus 032 (40-200mm),ISOVER,,KBOB,10.004,,20,7.6,4.51,3.09
SPAG-300297-10.004,ISOVER Perimeter- und Sockeldämmplatte 035 AW3 150 (30-300mm),ISOVER,,KBOB,10.004,,39,7.6,4.51,3.09
SPAG-300298-10.004,ISOVER Perimeter- und Sockeldämmplatte 032 AW3 150 grau (60-300mm),ISOVER,,KBOB,10.004,,30,7.6,4.51,3.09
SPAG-300299-10.004,ISOVER Trittschalldämmplatte EPS 045 DES sm (15-60mm),ISOVER,Dämmung,KBOB,10.004,,11,7.6,4.51,3.09
SPAG-300300-10.004,ISOVER Trittschalldämmplatte EPS 040 DES sg (15-60mm),ISOVER,,KBOB,10.004,,16,7.6,4.51,3.09
SPAG-300302-10.004,Sarna Granol K5 EPS 030 GR (40-300mm),,,KBOB,10.004,,15,7.6,4.51,3.09
SPAG-300305-10.004,S-Therm Duro (40-300mm),,,KBOB,10.004,,45,7.6,4.51,3.09
SPAG-300307-10.004,NEOSTIR GW 30 (50-300mm),,,KBOB,10.004,,24,7.6,4.51,3.09
SPAG-300310-10.004,steinopor EPS - 100 kPa (20-500mm),,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300311-10.004,steinopor EPS - 120 kPa (20-500mm),,,KBOB,10.004,,27,7.6,4.51,3.09
SPAG-300312-10.004,steinopor EPS plus 031 (20-300mm),,,KBOB,10.004,,23,7.6,4.51,3.09
SPAG-300313-10.004,steinodur PSN (50-200mm),,,KBOB,10.004,,40,7.6,4.51,3.09
